Assuming page size is 4 KB
Global1: Global memory latency for 1 KB array and varying strides.
   stride (bytes), latency (clocks)
   4560, 186.730566
   4568, 186.531738
   4576, 186.727344
   4584, 186.491992
   4592, 186.745020
   4600, 186.513184
   4608, 186.716309
   4616, 186.531543
   4624, 186.725879
   4632, 186.531543
   4640, 186.694434
   4648, 186.531348
   4656, 186.716895
   4664, 186.526465
   4672, 186.731348
   4680, 186.523047
   4688, 186.712793
   4696, 186.550879
   4704, 186.740430
   4712, 186.533301
   4720, 186.736914
   4728, 186.541602
   4736, 186.728320
   4744, 186.523242
   4752, 186.743457
   4760, 186.541309
   4768, 186.750293
   4776, 186.531348
   4784, 186.736230
   4792, 186.548633
   4800, 186.734082
   4808, 186.543164
   4816, 186.725879
   4824, 186.549805
   4832, 186.756250
   4840, 186.547754
   4848, 186.729199
   4856, 186.576172
   4864, 186.755469
   4872, 186.546973
   4880, 186.748926
   4888, 186.543555
   4896, 186.741504
   4904, 186.497363
   4912, 186.741992
   4920, 186.537988
   4928, 186.738086
   4936, 186.544629
   4944, 186.754395
   4952, 186.537012
   4960, 186.743555
   4968, 186.556738
   4976, 186.733496
   4984, 186.534766
   4992, 186.732129
   5000, 186.529395
   5008, 186.725781
   5016, 186.543359
   5024, 186.743848
   5032, 186.544238
   5040, 186.744629
   5048, 186.535254
   5056, 186.734473
   5064, 186.513867
   5072, 186.743652
   5080, 186.555371
   5088, 186.725195
   5096, 186.529492
   5104, 186.745020
   5112, 186.502148
   5120, 186.755273
   5128, 186.535156
   5136, 186.756250
   5144, 186.542773
   5152, 186.740723
   5160, 186.560449
   5168, 186.750098
   5176, 186.551660
   5184, 186.737988
   5192, 186.522656
   5200, 186.723047
   5208, 186.538574
   5216, 186.735645
   5224, 186.522852
   5232, 186.739941
   5240, 186.533301
   5248, 186.719727
   5256, 186.533984
   5264, 186.726660
   5272, 186.501758
   5280, 186.738477
   5288, 186.557617
   5296, 186.736621
   5304, 186.549512
   5312, 186.739062
   5320, 186.553711
   5328, 186.702246
   5336, 186.544141
   5344, 186.745410
   5352, 186.554590
   5360, 186.730469
   5368, 186.530469
   5376, 186.720801
   5384, 186.540137
   5392, 186.741113
   5400, 186.527832
   5408, 186.742090
   5416, 186.530859
   5424, 186.723535
   5432, 186.498730
   5440, 186.729883
   5448, 186.540234
   5456, 186.726172
   5464, 186.541602
   5472, 186.738672
   5480, 186.521582
   5488, 186.726074
   5496, 186.520508
   5504, 186.738867
   5512, 186.547266
   5520, 186.730859
   5528, 186.547168
   5536, 186.728223
   5544, 186.580469
   5552, 186.746387
   5560, 186.538867
   5568, 186.750293
   5576, 186.542188
   5584, 186.753320
   5592, 186.535742
   5600, 186.756543
   5608, 186.545215
   5616, 186.746875
   5624, 186.539551
   5632, 186.756348
   5640, 186.542090
   5648, 186.738086
   5656, 186.556250
   5664, 186.737012
   5672, 186.555566
   5680, 186.732129
   5688, 186.555762
   5696, 186.702051
   5704, 186.541992
   5712, 186.744336
   5720, 186.534863
   5728, 186.732422
   5736, 186.536719
   5744, 186.731641
   5752, 186.498340
   5760, 186.741699
   5768, 186.531738
   5776, 186.745703
   5784, 186.555566
   5792, 186.761133
   5800, 186.520410
   5808, 186.747363
   5816, 186.548047
   5824, 186.748437
   5832, 186.535937
   5840, 186.741895
   5848, 186.555273
   5856, 186.730957
   5864, 186.533398
   5872, 186.748730
   5880, 186.557422
   5888, 186.717969
   5896, 186.533594
   5904, 186.747949
   5912, 186.519531
   5920, 186.732031
   5928, 186.544727
   5936, 186.747363
   5944, 186.551367
   5952, 186.743750
   5960, 186.497852
   5968, 186.739746
   5976, 186.540039
   5984, 186.743457
   5992, 186.527832
   6000, 186.743262
   6008, 186.552734
   6016, 186.730371
   6024, 186.546094
   6032, 186.752930
   6040, 186.545898
   6048, 186.738379
   6056, 186.538281
   6064, 186.727832
   6072, 186.529004
   6080, 186.753027
   6088, 186.554102
   6096, 186.755566
   6104, 186.539746
   6112, 186.765723
   6120, 186.546289
   6128, 186.760742
   6136, 186.547949
   6144, 186.740234
   6152, 186.549316
   6160, 186.742578
   6168, 186.562402
   6176, 186.717969
   6184, 186.539453
   6192, 186.738965
   6200, 186.558008
   6208, 186.770801
   6216, 186.562012
   6224, 186.721875
   6232, 186.568262
   6240, 186.730859
   6248, 186.556836
   6256, 186.752930
   6264, 186.553418
   6272, 186.754980
   6280, 186.548438
   6288, 186.757910
   6296, 186.557520
   6304, 186.748730
   6312, 186.551953
   6320, 186.749707
   6328, 186.529687
   6336, 186.758008
   6344, 186.552930
   6352, 186.754102
   6360, 186.529883
   6368, 186.731348
   6376, 186.542383
   6384, 186.717383
   6392, 186.534961
