Assuming page size is 64 KB
8
8

Global6: Testing associativity of L1 TLB.
   entries, array size (KB), stride (KB), latency
   15, 18266.25, 1217.750000, 186.925879
   15, 21721.88, 1448.125000, 186.749316
   15, 25831.88, 1722.125000, 186.344922
   15, 30720.00, 2048.000000, 186.438965
   15, 36532.50, 2435.500000, 186.347168
   15, 43443.75, 2896.250000, 186.584766
   15, 51663.75, 3444.250000, 186.642090
   15, 61440.00, 4096.000000, 186.431250
   15, 73065.00, 4871.000000, 186.487012
   15, 86889.38, 5792.625000, 185.996484
   15, 103329.38, 6888.625000, 186.486621
   15, 122880.00, 8192.000000, 186.442090
   15, 146130.00, 9742.000000, 186.631641
   15, 173778.75, 11585.250000, 185.866992
   15, 206658.75, 13777.250000, 186.198145
   15, 245760.00, 16384.000000, 186.434961
   15, 292260.00, 19484.000000, 186.654395
   15, 347557.50, 23170.500000, 186.129590
   15, 413317.50, 27554.500000, 186.337988
   15, 491520.00, 32768.000000, 186.438672
   15, 584520.00, 38968.000000, 186.658301
   15, 695115.00, 46341.000000, 186.596387
   15, 826635.00, 55109.000000, 186.336035
   15, 983040.00, 65536.000000, 186.610059
   15, 1169038.12, 77935.875000, 186.926465
   15, 1390228.12, 92681.875000, 186.926855
   15, 1653270.00, 110218.000000, 186.638672
   15, 1966080.00, 131072.000000, OOM.
   15, 2338076.25, 155871.750000, OOM.
   15, 2780456.25, 185363.750000, OOM.
   15, 3306540.00, 220436.000000, OOM.
   15, 3932160.00, 262144.000000, OOM.
   15, 4676152.50, 311743.500000, OOM.
   15, 5560914.38, 370727.625000, OOM.
   15, 6613078.12, 440871.875000, OOM.
   15, 7864320.00, 524288.000000, OOM.
   15, 9352305.00, 623487.000000, OOM.
   15, 11121828.75, 741455.250000, OOM.
   15, 13226156.25, 881743.750000, OOM.
   16,    2.00, 0.125000, 186.524902
   16,    2.00, 0.125000, 186.721973
   16,    2.00, 0.125000, 186.500488
   16,    4.00, 0.250000, 186.702051
   16,    4.00, 0.250000, 186.508594
   16,    4.00, 0.250000, 186.708398
   16,    6.00, 0.375000, 186.647852
   16,    6.00, 0.375000, 186.579492
   16,    8.00, 0.500000, 186.505664
   16,   10.00, 0.625000, 187.534473
   16,   12.00, 0.750000, 186.676172
   16,   14.00, 0.875000, 186.839160
   16,   16.00, 1.000000, 186.520801
   16,   20.00, 1.250000, 187.404004
   16,   22.00, 1.375000, 186.652637
   16,   26.00, 1.625000, 186.968848
   16,   32.00, 2.000000, 186.524219
   16,   38.00, 2.375000, 186.980371
   16,   46.00, 2.875000, 186.672754
   16,   54.00, 3.375000, 186.851758
   16,   64.00, 4.000000, 186.498730
   16,   76.00, 4.750000, 186.964941
   16,   90.00, 5.625000, 186.090527
   16,  108.00, 6.750000, 186.730859
   16,  128.00, 8.000000, 186.532422
   16,  152.00, 9.500000, 187.001367
   16,  182.00, 11.375000, 186.940430
   16,  216.00, 13.500000, 186.735352
   16,  256.00, 16.000000, 186.507129
   16,  304.00, 19.000000, 186.708594
   16,  362.00, 22.625000, 185.989355
   16,  430.00, 26.875000, 186.729590
   16,  512.00, 32.000000, 186.520996
   16,  608.00, 38.000000, 186.579492
   16,  724.00, 45.250000, 185.956836
   16,  862.00, 53.875000, 186.723633
   16, 1024.00, 64.000000, 186.505371
   16, 1218.00, 76.125000, 185.766113
   16, 1448.00, 90.500000, 186.538770
   16, 1722.00, 107.625000, 186.303516
   16, 2048.00, 128.000000, 186.491504
   16, 2436.00, 152.250000, 186.735547
   16, 2896.00, 181.000000, 186.650586
   16, 3444.00, 215.250000, 186.579297
