Assuming page size is 4 KB
8
8

Global4: Measuring L2 TLB page size using 2 MB stride
  offset (bytes), latency (clocks)
  356352, 197.562187
  360448, 197.605352
  364544, 197.578359
  368640, 197.695859
  372736, 197.520703
  376832, 197.775801
  380928, 197.507148
  385024, 197.715313
  389120, 197.567520
  393216, 197.586660
  397312, 197.575371
  401408, 197.586504
  405504, 197.555781
  409600, 197.715137
  413696, 197.437168
  417792, 197.764043
  421888, 197.396953
  425984, 197.774063
  430080, 197.389844
  434176, 197.776641
  438272, 197.425742
  442368, 197.722090
  446464, 197.579160
  450560, 197.593906
  454656, 197.581602
  458752, 197.604238
  462848, 197.573594
  466944, 197.675625
  471040, 197.466016
  475136, 197.760996
  479232, 197.395469
  483328, 197.780234
  487424, 197.397852
  491520, 197.764824
  495616, 197.571484
  499712, 197.614375
  503808, 197.579473
  507904, 197.596348
  512000, 197.565840
  516096, 197.586582
  520192, 197.576113
  524288, 197.776348
  528384, 197.379414
  532480, 197.770586
  536576, 197.392988
  540672, 197.779180
  544768, 197.391348
  548864, 197.778789
  552960, 197.572539
  557056, 197.612930
  561152, 197.555781
  565248, 197.589727
  569344, 197.571309
  573440, 197.607734
  577536, 197.581484
  581632, 197.764316
  585728, 197.396699
  589824, 197.777871
  593920, 197.404687
  598016, 197.783301
  602112, 197.407871
  606208, 197.777227
  610304, 197.578477
  614400, 197.608652
  618496, 197.591484
  622592, 197.600879
  626688, 197.567930
  630784, 197.623672
  634880, 197.542051
  638976, 197.776211
  643072, 197.402480
  647168, 197.767617
  651264, 197.399844
  655360, 197.778203
  659456, 197.410039
  663552, 197.759980
  667648, 197.572461
  671744, 197.601191
  675840, 197.577227
  679936, 197.578789
  684032, 197.576191
  688128, 197.624570
  692224, 197.553281
  696320, 197.767383
  700416, 197.401719
  704512, 197.772090
  708608, 197.379082
  712704, 197.760547
  716800, 197.380937
  720896, 197.758828
  724992, 197.411484
  729088, 197.731133
  733184, 197.564961
  737280, 197.591680
  741376, 197.555371
  745472, 197.580742
  749568, 197.574102
  753664, 197.599707
  757760, 197.560840
  761856, 197.774082
  765952, 197.391660
  770048, 197.766426
  774144, 197.394141
  778240, 197.775410
  782336, 197.411504
  786432, 197.753613
  790528, 197.570176
  794624, 197.596230
  798720, 197.565469
  802816, 197.580078
  806912, 197.576934
  811008, 197.588730
  815104, 197.575332
  819200, 197.759941
  823296, 197.391680
  827392, 197.767500
  831488, 197.406270
  835584, 197.773398
  839680, 197.394062
  843776, 197.773750
  847872, 197.582812
  851968, 197.605879
  856064, 197.572754
  860160, 197.600098
  864256, 197.581289
  868352, 197.599258
  872448, 197.577344
  876544, 197.742207
  880640, 197.440234
  884736, 197.787852
  888832, 197.402949
  892928, 197.773633
  897024, 197.393535
  901120, 197.782324
  905216, 197.472715
  909312, 197.746816
  913408, 197.580254
  917504, 197.597090
  921600, 197.590156
  925696, 197.609238
  929792, 197.562559
  933888, 197.599238
  937984, 197.578672
  942080, 197.782148
  946176, 197.399258
  950272, 197.775293
  954368, 197.403477
  958464, 197.768809
  962560, 197.398652
  966656, 197.782227
  970752, 197.526719
  974848, 197.671953
  978944, 197.560898
  983040, 197.591230
  987136, 197.581211
  991232, 197.588262
  995328, 197.570254
  999424, 197.627480
  1003520, 197.550117
  1007616, 197.774238
